Mcf;Americas;Northeast Asia;Mideast;South/SE Asia;Europe;Global;Month-on-month change
paź.18;$11,11;$10,14;-$0,98;;;;
lis.18;$11,18;$10,24;-$0,94;;;;
gru.18;$11,02;$9,94;-$1,08;;;;
sty.19;$11,25;$10,13;-$1,12;;;;
lut.19;$11,78;$10,94;-$0,84;;;;
mar.19;$10,86;$9,25;-$1,61;;;;
kwi.19;$9,27;$7,16;-$2,11;;;;
maj.19;$9,27;$6,71;-$2,56;;;;
cze.19;$9,03;$7,60;-$1,44;;;;
lip.19;$9,38;$6,61;-$2,76;;;;
sie.19;$9,20;$6,95;-$2,25;;;;
wrz.19;$9,80;$6,93;-$2,87;;;;
paź.19;$9,20;$7,51;-$1,69;;;;
lis.19;$8,62;$7,52;-$1,10;;;;
gru.19;$8,76;$7,81;-$0,95;;;;
sty.20;$9,87;$7,61;-$2,26;;;;
lut.20;$8,60;$7,21;-$1,38;;;;
mar.20;$8,87;$6,64;-$2,23;;;;
kwi.20;$9,18;$7,59;-$1,59;;;;
maj.20;$8,94;$7,05;-$1,89;;;;
cze.20;$8,48;$6,24;-$2,24;;;;
lip.20;$7,33;$6,14;-$1,19;;;;
sie.20;$6,10;$6,45;$0,36;;;;
wrz.20;$5,06;$5,96;$0,90;;;;
paź.20;$5,31;$6,95;$1,64;;;;
lis.20;$5,99;$5,99;$0,00;;;;
gru.20;$6,88;$7,33;$0,45;;;;
sty.21;$7,94;$8,75;$0,80;;;;
lut.21;$10,21;$12,39;$2,18;;;;
mar.21;$8,41;$8,73;$0,32;;;;
kwi.21;$7,40;$7,88;$0,47;;;;
maj.21;$7,81;$8,09;$0,28;;;;
cze.21;$8,82;$8,90;$0,08;;;;
lip.21;$9,56;$9,34;-$0,22;;;;
sie.21;$10,28;$9,80;-$0,48;;;;
wrz.21;$10,96;$12,63;$1,67;;;;
Source: Refinitiv, LSEG;;;;;;;
*Prices predominantly indexed to Brent;;;;;;;
**Prices predominantly indexed to Henry Hub (HH);;;;;;;
;;;;;;;
Monthly av. Brent and HH price;;;;;;;
;Brent ($/bbl);HH ($/MMBtu);;;;;
gru.16;$53,29;$3,59;;;;;
sty.17;$54,58;$3,30;;;;;
lut.17;$54,87;$2,85;;;;;
mar.17;$51,59;$2,88;;;;;
kwi.17;$52,31;$3,10;;;;;
maj.17;$50,33;$3,15;;;;;
cze.17;$46,37;$2,98;;;;;
lip.17;$48,48;$2,98;;;;;
sie.17;$51,70;$2,90;;;;;
wrz.17;$56,15;$2,98;;;;;
paź.17;$57,51;$2,88;;;;;
lis.17;$62,71;$3,01;;;;;
gru.17;$64,37;$2,82;;;;;
sty.18;$69,08;$3,87;;;;;
lut.18;$65,32;$2,67;;;;;
mar.18;$66,02;$2,69;;;;;
kwi.18;$72,11;$2,80;;;;;
maj.18;$76,98;$2,80;;;;;
cze.18;$74,41;$2,97;;;;;
lip.18;$74,25;$2,83;;;;;
sie.18;$72,53;$2,96;;;;;
wrz.18;$78,89;$3,00;;;;;
paź.18;$81,03;$3,28;;;;;
lis.18;$64,75;$4,09;;;;;
gru.18;$57,36;$4,04;;;;;
sty.19;$59,41;$3,11;;;;;
lut.19;$63,96;$2,69;;;;;
mar.19;$66,14;$2,95;;;;;
kwi.19;$71,23;$2,65;;;;;
maj.19;$71,32;$2,64;;;;;
cze.19;$64,22;$2,40;;;;;
lip.19;$63,92;$2,37;;;;;
sie.19;$59,04;$2,22;;;;;
wrz.19;$62,83;$2,56;;;;;
paź.19;$59,71;$2,33;;;;;
lis.19;$63,21;$2,65;;;;;
gru.19;$67,31;$2,22;;;;;
sty.20;$63,65;$2,02;;;;;
lut.20;$55,66;$1,91;;;;;
mar.20;$32,01;$1,79;;;;;
kwi.20;$18,38;$1,74;;;;;
maj.20;$29,38;$1,75;;;;;
cze.20;$40,27;$1,63;;;;;
lip.20;$43,24;$1,77;;;;;
sie.20;$44,74;$2,30;;;;;
wrz.20;$40,91;$1,92;;;;;
paź.20;$40,19;$2,39;;;;;
lis.20;$42,69;$2,61;;;;;
gru.20;$49,99;$2,59;;;;;
sty.21;$54,77;$2,71;;;;;
lut.21;$62,28;$5,35;;;;;
mar.21;$65,41;$2,62;;;;;
kwi.21;$64,81;$2,66;;;;;
maj.21;$68,53;$2,91;;;;;
cze.21;$73,16;$3,26;;;;;
lip.21;$75,17;$3,84;;;;;
sie.21;$70,75;$4,07;;;;;
wrz.21;$74,49;$5,16;;;;;
Source: EIA;;;;;;;
;;;;;;;
Conversion factors;;;;;;;
;million tonnes LNG;billion cubic metres natural gas;billion cubic feet natural gas;million barrels oil equivalent;trillion British termal units;;
1 million tonnes LNG;1,000;1,360;48,000;8,970;48,600;;
1 billion cubic metres natural gas;0,740;1,000;35,300;6,600;35,700;;
1 billion cubic feet natural gas;0,025;0,028;1,000;0,090;1,010;;
1 million barrels oil equivalent;0,110;0,150;5,350;1,000;5,410;;
1 trillion British termal units;0,021;0,028;0,990;0,180;1,000;;
